12:19:12.460290 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 317: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 275
14:35:39.856581 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 74: 192.168.0.1.80 > 192.168.0.100.43368: Flags [S.], seq 1878598896, ack 234944411, win 5792, options [mss 1460,sackOK,TS val 2596664 ecr 4305821,nop,wscale 1], length 0
14:35:39.858629 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 74: 192.168.0.1.80 > 192.168.0.100.43370: Flags [S.], seq 1877147520, ack 398872202, win 5792, options [mss 1460,sackOK,TS val 2596664 ecr 4305822,nop,wscale 1], length 0
14:35:39.859128 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 1, win 229, options [nop,nop,TS val 4305917 ecr 2596664], length 0
14:35:39.859641 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 394: 192.168.0.100.43368 > 192.168.0.1.80: Flags [P.], seq 1:329, ack 1, win 229, options [nop,nop,TS val 4305917 ecr 2596664], length 328
14:35:39.861190 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 78: 192.168.0.1.80 > 192.168.0.100.43362: Flags [.], ack 347, win 2896, options [nop,nop,TS val 2596664 ecr 4305905,nop,nop,sack 1 {1:347}], length 0
14:35:39.861175 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43370 > 192.168.0.1.80: Flags [.], ack 1, win 229, options [nop,nop,TS val 4305918 ecr 2596664], length 0
14:35:39.862200 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 399: 192.168.0.100.43370 > 192.168.0.1.80: Flags [P.], seq 1:334, ack 1, win 229, options [nop,nop,TS val 4305918 ecr 2596664], length 333
14:35:39.863238 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 66: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], ack 329, win 2896, options [nop,nop,TS val 2596665 ecr 4305917], length 0
14:35:39.864773 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 66: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], ack 334, win 2896, options [nop,nop,TS val 2596665 ecr 4305918], length 0
14:35:39.869894 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 75: 192.168.0.1.80 > 192.168.0.100.43368: Flags [P.], seq 1:10, ack 329, win 2896, options [nop,nop,TS val 2596667 ecr 4305917], length 9
14:35:39.883717 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 10:1458, ack 329, win 2896, options [nop,nop,TS val 2596667 ecr 4305917], length 1448
14:35:39.884217 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 10, win 229, options [nop,nop,TS val 4305921 ecr 2596667], length 0
14:35:39.897028 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 1458:2906, ack 329, win 2896, options [nop,nop,TS val 2596667 ecr 4305917], length 1448
14:35:39.897528 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 1458, win 251, options [nop,nop,TS val 4305924 ecr 2596667], length 0
14:35:39.898566 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 75: 192.168.0.1.80 > 192.168.0.100.43370: Flags [P.], seq 1:10, ack 334, win 2896, options [nop,nop,TS val 2596669 ecr 4305918], length 9
14:35:39.899062 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 2906, win 274, options [nop,nop,TS val 4305927 ecr 2596667], length 0
14:35:39.911878 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 10:1458, ack 334, win 2896, options [nop,nop,TS val 2596669 ecr 4305918], length 1448
14:35:39.912373 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43370 > 192.168.0.1.80: Flags [.], ack 10, win 229, options [nop,nop,TS val 4305928 ecr 2596669], length 0
14:35:39.925189 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 1458:2906, ack 334, win 2896, options [nop,nop,TS val 2596669 ecr 4305918], length 1448
14:35:39.925687 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43370 > 192.168.0.1.80: Flags [.], ack 1458, win 251, options [nop,nop,TS val 4305931 ecr 2596669], length 0
14:35:39.938501 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 2906:4354, ack 329, win 2896, options [nop,nop,TS val 2596671 ecr 4305921], length 1448
14:35:39.940534 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43370 > 192.168.0.1.80: Flags [.], ack 2906, win 274, options [nop,nop,TS val 4305934 ecr 2596669], length 0
14:35:39.953348 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 4354:5802, ack 329, win 2896, options [nop,nop,TS val 2596671 ecr 4305921], length 1448
14:35:39.988165 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 5802:7250, ack 329, win 2896, options [nop,nop,TS val 2596674 ecr 4305924], length 1448
14:35:40.016390 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 7250:8698, ack 329, win 2896, options [nop,nop,TS val 2596674 ecr 4305924], length 1448
14:35:40.016376 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 78: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 4354, win 319, options [nop,nop,TS val 4305954 ecr 2596671,nop,nop,sack 1 {5802:7250}], length 0
14:35:40.029190 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 8698:10146, ack 329, win 2896, options [nop,nop,TS val 2596675 ecr 4305927], length 1448
14:35:40.030200 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 78: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 4354, win 342, options [nop,nop,TS val 4305957 ecr 2596671,nop,nop,sack 1 {5802:8698}], length 0
14:35:40.042502 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 10146:11594, ack 329, win 2896, options [nop,nop,TS val 2596675 ecr 4305927], length 1448
14:35:40.044535 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 78: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 4354, win 364, options [nop,nop,TS val 4305960 ecr 2596671,nop,nop,sack 1 {5802:10146}], length 0
14:35:40.051703 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 78: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 4354, win 387, options [nop,nop,TS val 4305964 ecr 2596671,nop,nop,sack 1 {5802:11594}], length 0
14:35:40.064518 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 2906:4354, ack 334, win 2896, options [nop,nop,TS val 2596678 ecr 4305928], length 1448
14:35:40.105476 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 4354:5802, ack 334, win 2896, options [nop,nop,TS val 2596678 ecr 4305928], length 1448
14:35:40.141317 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 5802:7250, ack 334, win 2896, options [nop,nop,TS val 2596681 ecr 4305931], length 1448
14:35:40.176646 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 7250:8698, ack 334, win 2896, options [nop,nop,TS val 2596681 ecr 4305931], length 1448
14:35:40.212996 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 8698:10146, ack 334, win 2896, options [nop,nop,TS val 2596685 ecr 4305934], length 1448
14:35:40.246277 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 10146:11594, ack 334, win 2896, options [nop,nop,TS val 2596685 ecr 4305934], length 1448
14:35:40.281092 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 11594:13042, ack 329, win 2896, options [nop,nop,TS val 2596704 ecr 4305954], length 1448
14:35:40.317444 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 13042:14490, ack 329, win 2896, options [nop,nop,TS val 2596704 ecr 4305954], length 1448
14:35:40.350726 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 14490:15938, ack 329, win 2896, options [nop,nop,TS val 2596704 ecr 4305954], length 1448
14:35:40.384005 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1286: 192.168.0.1.80 > 192.168.0.100.43368: Flags [FP.], seq 15938:17158, ack 329, win 2896, options [nop,nop,TS val 2596704 ecr 4305954], length 1220
14:35:40.417286 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 4354:5802, ack 329, win 2896, options [nop,nop,TS val 2596711 ecr 4305960], length 1448
14:35:40.449542 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 2906:4354, ack 334, win 2896, options [nop,nop,TS val 2596740 ecr 4305934], length 1448
14:35:40.484356 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 4354:5802, ack 329, win 2896, options [nop,nop,TS val 2596768 ecr 4305964], length 1448
14:35:40.592376 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43370 > 192.168.0.1.80: Flags [.], ack 4354, win 296, options [nop,nop,TS val 4305976 ecr 2596678], length 0
14:35:40.592375 00:c0:ca:83:1b:8c > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 183: 192.168.0.100.5353 > 224.0.0.251.5353: 0 [9q] PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. (141)
14:35:40.592376 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 76: 192.168.0.100.14729 > 192.168.0.1.53: 12646+ A? daisy.ubuntu.com. (34)
14:35:40.592376 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 76: 192.168.0.100.54560 > 192.168.0.1.53: 21651+ AAAA? daisy.ubuntu.com. (34)
14:35:40.592376 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 74: 192.168.0.100.43366 > 192.168.0.1.80: Flags [S], seq 998024439, win 29200, options [mss 1460,sackOK,TS val 4306009 ecr 0,nop,wscale 7], length 0
14:35:40.592375 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 74: 192.168.0.100.43364 > 192.168.0.1.80: Flags [S], seq 906157627, win 29200, options [mss 1460,sackOK,TS val 4306009 ecr 0,nop,wscale 7], length 0
14:35:40.592888 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 65: 192.168.0.100.54551 > 192.168.0.1.53: 34298+ SOA? local. (23)
14:35:40.593413 00:c0:ca:83:1b:8c > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 183: 192.168.0.100.5353 > 224.0.0.251.5353: 0 [9q] PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. (141)
14:35:40.593923 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 104: 192.168.0.1 > 192.168.0.100: ICMP net 192.168.0.1 unreachable, length 70
14:35:40.607236 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 11594:13042, ack 334, win 2896, options [nop,nop,TS val 2596848 ecr 4305976], length 1448
14:35:40.608260 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 104: 192.168.0.1 > 192.168.0.100: ICMP net 192.168.0.1 unreachable, length 70
14:35:40.608260 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 93: 192.168.0.1 > 192.168.0.100: ICMP net 192.168.0.1 unreachable, length 59
14:35:40.608247 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 78: 192.168.0.100.43370 > 192.168.0.1.80: Flags [.], ack 4354, win 319, options [nop,nop,TS val 4306105 ecr 2596678,nop,nop,sack 1 {11594:13042}], length 0
14:35:40.620549 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 13042:14490, ack 334, win 2896, options [nop,nop,TS val 2596848 ecr 4305976], length 1448
14:35:40.622085 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 74: 192.168.0.1.80 > 192.168.0.100.43366: Flags [S.], seq 1867889065, ack 998024440, win 5792, options [mss 1460,sackOK,TS val 2596848 ecr 4305759,nop,wscale 1], length 0
14:35:40.622584 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 78: 192.168.0.100.43370 > 192.168.0.1.80: Flags [.], ack 4354, win 342, options [nop,nop,TS val 4306108 ecr 2596678,nop,nop,sack 1 {11594:14490}], length 0
14:35:40.623608 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43366 > 192.168.0.1.80: Flags [.], ack 1, win 229, options [nop,nop,TS val 4306109 ecr 2596848], length 0
14:35:40.625157 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 74: 192.168.0.1.80 > 192.168.0.100.43364: Flags [S.], seq 1853433219, ack 906157628, win 5792, options [mss 1460,sackOK,TS val 2596848 ecr 4305759,nop,wscale 1], length 0
14:35:40.626679 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43364 > 192.168.0.1.80: Flags [.], ack 1, win 229, options [nop,nop,TS val 4306109 ecr 2596848], length 0
14:35:40.655878 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 75: 192.168.0.1.80 > 192.168.0.100.43362: Flags [P.], seq 1:10, ack 347, win 2896, options [nop,nop,TS val 2596864 ecr 4305905], length 9
14:35:40.659448 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43362 > 192.168.0.1.80: Flags [.], ack 10, win 229, options [nop,nop,TS val 4306117 ecr 2596864], length 0
14:35:40.672773 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43362: Flags [.], seq 10:1458, ack 347, win 2896, options [nop,nop,TS val 2596865 ecr 4306117], length 1448
14:35:40.686597 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43362: Flags [.], seq 1458:2906, ack 347, win 2896, options [nop,nop,TS val 2596865 ecr 4306117], length 1448
14:35:40.688120 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43362 > 192.168.0.1.80: Flags [.], ack 1458, win 251, options [nop,nop,TS val 4306121 ecr 2596865], length 0
14:35:40.688119 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43362 > 192.168.0.1.80: Flags [.], ack 2906, win 274, options [nop,nop,TS val 4306125 ecr 2596865], length 0
14:35:40.714245 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1424: 192.168.0.1.80 > 192.168.0.100.43362: Flags [FP.], seq 2906:4264, ack 347, win 2896, options [nop,nop,TS val 2596872 ecr 4306121], length 1358
14:35:40.715256 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43362 > 192.168.0.1.80: Flags [F.], seq 347, ack 4265, win 296, options [nop,nop,TS val 4306132 ecr 2596872], length 0
14:35:40.717317 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 66: 192.168.0.1.80 > 192.168.0.100.43362: Flags [.], ack 348, win 2896, options [nop,nop,TS val 2596879 ecr 4306132], length 0
14:35:40.739845 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 4354:5802, ack 329, win 2896, options [nop,nop,TS val 2596882 ecr 4305964], length 1448
14:35:40.740855 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 11594, win 410, options [nop,nop,TS val 4306138 ecr 2596882], length 0
14:35:40.754182 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 11594:13042, ack 329, win 2896, options [nop,nop,TS val 2596885 ecr 4306138], length 1448
14:35:40.756216 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 13042, win 432, options [nop,nop,TS val 4306142 ecr 2596885], length 0
14:35:40.769029 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 13042:14490, ack 329, win 2896, options [nop,nop,TS val 2596885 ecr 4306138], length 1448
14:35:40.801797 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 14490:15938, ack 329, win 2896, options [nop,nop,TS val 2596889 ecr 4306142], length 1448
14:35:40.827910 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1286: 192.168.0.1.80 > 192.168.0.100.43368: Flags [FP.], seq 15938:17158, ack 329, win 2896, options [nop,nop,TS val 2596889 ecr 4306142], length 1220
14:35:40.991749 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 13042:14490, ack 329, win 2896, options [nop,nop,TS val 2596945 ecr 4306142], length 1448
14:35:41.305656 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 78: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 13042, win 455, options [nop,nop,TS val 4306157 ecr 2596885,nop,nop,sack 1 {14490:15938}], length 0
14:35:41.439813 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], seq 13042:14490, ack 329, win 2896, options [nop,nop,TS val 2597057 ecr 4306157], length 1448
14:35:41.453125 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 4354:5802, ack 334, win 2896, options [nop,nop,TS val 2597059 ecr 4306108], length 1448
14:35:41.453624 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43368 > 192.168.0.1.80: Flags [.], ack 15938, win 477, options [nop,nop,TS val 4306313 ecr 2597057], length 0
14:35:41.464900 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1286: 192.168.0.1.80 > 192.168.0.100.43368: Flags [FP.], seq 15938:17158, ack 329, win 2896, options [nop,nop,TS val 2597063 ecr 4306313], length 1220
14:35:41.465400 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 78: 192.168.0.100.43370 > 192.168.0.1.80: Flags [.], ack 5802, win 364, options [nop,nop,TS val 4306316 ecr 2597059,nop,nop,sack 1 {11594:14490}], length 0
14:35:41.466424 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.43368 > 192.168.0.1.80: Flags [F.], seq 329, ack 17159, win 500, options [nop,nop,TS val 4306319 ecr 2597063], length 0
14:35:41.480774 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 14490:15938, ack 334, win 2896, options [nop,nop,TS val 2597066 ecr 4306316], length 1448
14:35:41.513542 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [P.], seq 15938:17386, ack 334, win 2896, options [nop,nop,TS val 2597066 ecr 4306316], length 1448
14:35:41.529926 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 66: 192.168.0.1.80 > 192.168.0.100.43368: Flags [.], ack 330, win 2896, options [nop,nop,TS val 2597067 ecr 4306319], length 0
14:35:42.028664 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 86: 192.168.0.100.43370 > 192.168.0.1.80: Flags [.], ack 5802, win 387, options [nop,nop,TS val 4306335 ecr 2597059,nop,nop,sack 2 {15938:17386}{11594:14490}], length 0
14:35:42.029688 00:c0:ca:83:1b:8c > 33:33:00:00:00:fb, ethertype IPv6 (0x86dd), length 203: fe80::6bb1:36fe:bafb:3232.5353 > ff02::fb.5353: 0 [9q] PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. (141)
14:35:42.030726 00:c0:ca:83:1b:8c > 33:33:00:00:00:fb, ethertype IPv6 (0x86dd), length 203: fe80::6bb1:36fe:bafb:3232.5353 > ff02::fb.5353: 0 [9q] PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. (141)
14:35:42.043526 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 5802:7250, ack 334, win 2896, options [nop,nop,TS val 2597207 ecr 4306335], length 1448
14:35:42.069126 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 7250:8698, ack 334, win 2896, options [nop,nop,TS val 2597207 ecr 4306335], length 1448
14:35:42.082438 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 1514: 192.168.0.1.80 > 192.168.0.100.43370: Flags [.], seq 8698:10146, ack 334, win 2896, options [nop,nop,TS val 2597207 ecr 4306335], length 1448
14:35:42.084984 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 86: 192.168.0.100.43370 > 192.168.0.1.80: Flags [.], ack 7250, win 410, options [nop,nop,TS val 4306470 ecr 2597207,nop,nop,sack 2 {15938:17386}{11594:14490}], length 0
14:35:42.084984 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 86: 192.168.0.100.43370 > 192.168.0.1.80: Flags [.], ack 8698, win 432, options [nop,nop,TS val 4306470 ecr 2597207,nop,nop,sack 2 {15938:17386}{11594:14490}], length 0
